id,unicode,X,Y,population,traveller,visitor
425,13137,1130806.5081365511,-246976.37123575003,36095,5174,4184
426,13139,1109269.0969591842,-285220.10238386452,140993,18676,18972
427,13141,1199321.2987234981,-391176.61433370091,10066,1839,475
428,13143,989761.97060274601,-358562.44693708542,25788,6011,2100
429,13145,1031071.3662155756,-472687.67346490908,23912,8937,2467
430,13147,1186203.7559326061,-271070.94970017596,23046,3491,2136
431,13149,1003655.1156940704,-412865.61838483164,11038,3075,814
432,13151,1090859.1861713508,-384816.89500921464,121774,41602,15422
433,13153,1150016.4923186791,-489122.93039899587,111294,13072,10194
434,13155,1198907.2293790982,-578918.91959541419,9905,2277,1238
435,13157,1134885.3636493084,-302498.86078695359,41845,11172,7112
436,13159,1135630.490149288,-394511.94595046295,11496,3213,882
437,13161,1255582.0130104043,-548239.91643071955,12734,1458,1419
438,13163,1256175.8794061281,-407462.33897555945,17229,1999,1657
439,13165,1302223.3127373722,-430301.97688809101,8584,1144,755
440,13167,1239458.9656118753,-449660.21497121529,8567,1645,942
441,13169,1151586.7331805401,-425215.82322346256,23762,8068,1080
442,13171,1097560.0049945945,-426373.59942176269,16024,4527,1899
443,13173,1227443.1350892559,-638435.67005516123,7283,1938,573
444,13175,1218893.7449892871,-479332.66618357081,44931,2940,3689
