id,unicode,X,Y,population,travellers,visitors
396,1396,9938,4462,106,56,50
397,1397,9925,4450,3148,1607,1541
398,1398,9918,4460,1642,793,849
399,1399,9916,4456,1032,400,632
400,1400,9915,4450,841,291,550
401,1401,9928,4452,608,457,151
402,1402,9933,4450,1044,373,671
403,1403,9923,4447,5426,2782,2644
404,1404,9919,4443,4810,2479,2331
405,1405,9933,4448,2064,906,1158
406,1406,9929,4439,4454,2110,2344
407,1407,9927,4441,3248,1658,1590
408,1408,9920,4441,4755,2533,2222
409,1409,9920,4461,480,215,265
410,1410,9919,4460,1376,713,663
411,1411,9917,4461,678,320,358
412,1412,9920,4456,2132,1025,1107
413,1413,9927,4459,252,82,170
414,1414,9918,4456,2885,1674,1211
415,1415,9918,4457,1329,634,695
416,1416,9926,4455,1634,879,755
417,1417,9926,4456,2077,1081,996
418,1418,9921,4470,1,0,1
419,1419,9903,4431,44,21,23
420,1420,9915,4457,646,292,354
421,1421,9914,4455,2199,1207,992
422,1422,9915,4443,3003,1309,1694
423,1423,9927,4440,4741,2477,2264
424,1424,9915,4441,3676,1955,1721
425,1425,9946,4466,43,13,30
426,1426,9937,4460,377,138,239
427,1427,9935,4462,28,7,21
428,1428,9921,4456,1805,902,903
429,1429,9922,4461,431,155,276
430,1430,9923,4446,2328,1172,1156
431,1431,9927,4451,4101,2045,2056
432,1432,9915,4449,3970,2410,1560
433,1433,9914,4440,3383,1835,1548
434,1434,9931,4443,4239,2173,2066
435,1435,9926,4445,2829,1559,1270
436,1436,9933,4451,796,345,451
437,1437,9931,4448,781,436,345
438,1438,9932,4451,2916,1561,1355
439,1439,9923,4444,3338,1661,1677
440,1440,9927,4431,61,5,56
441,1441,9926,4430,1215,698,517
442,1442,9922,4451,5147,2685,2462
443,1443,9937,4443,682,347,335
444,1444,9938,4449,155,59,96
445,1445,9939,4451,9,3,6
446,1446,9928,4451,2418,1205,1213
447,1447,9933,4439,516,155,361
448,1448,9932,4444,1741,903,838
449,1449,9904,4431,292,153,139
450,1450,9937,4437,100,27,73
451,1451,9913,4454,1696,941,755
452,1452,9912,4460,209,95,114
453,1453,9912,4458,684,339,345
454,1454,9920,4457,1184,567,617
455,1455,9926,4444,3932,2041,1891
456,1456,9927,4453,486,194,292
457,1457,9945,4442,263,141,122
458,1458,9935,4444,1308,642,666
459,1459,9917,4446,5966,3113,2853
460,1460,9930,4441,5591,3045,2546
461,1461,9932,4452,811,404,407
462,1462,9918,4455,317,64,253
463,1463,9890,4418,3,2,1
464,1464,9900,4421,6,2,4
465,1465,9928,4434,800,481,319
466,1466,9929,4438,4781,2188,2593
467,1467,9934,4429,219,119,100
468,1468,9934,4430,530,287,243
469,1469,9926,4438,2489,1336,1153
470,1470,9920,4436,996,496,500
471,1471,9927,4439,2393,1256,1137
472,1472,9924,4436,5103,2536,2567
473,1473,9925,4431,975,544,431
474,1474,9934,4441,534,157,377
475,1475,9929,4435,371,128,243
476,1476,9921,4429,402,170,232
477,1477,9940,4444,542,239,303
478,1478,9941,4446,41,14,27
479,1479,9939,4448,54,24,30
480,1480,9938,4448,123,38,85
481,1481,9935,4442,1009,508,501
482,1482,9939,4442,560,242,318
483,1483,9926,4435,2542,1128,1414
484,1484,9919,4428,226,92,134
485,1485,9919,4425,458,254,204
486,1486,9930,4437,2559,1353,1206
487,1487,9936,4437,83,13,70
488,1488,9934,4444,2786,1387,1399
489,1489,9948,4442,37,16,21
490,1490,9934,4442,2024,861,1163
491,1491,9935,4443,2137,1041,1096
492,1492,9932,4443,3942,1958,1984
493,1493,9934,4443,2372,1068,1304
494,1494,9932,4440,1757,940,817
495,1495,9928,4438,3558,1714,1844
496,1496,9919,4421,87,28,59
497,1497,9925,4432,1005,590,415
498,1498,9927,4428,138,77,61
499,1499,9925,4426,46,22,24
500,1500,9927,4422,15,4,11
501,1501,9919,4439,3797,1541,2256
502,1502,9939,4456,70,38,32
503,1503,9937,4463,122,73,49
504,1504,9936,4457,87,46,41
505,1505,9928,4459,133,50,83
506,1506,9921,4454,656,259,397
507,1507,9918,4461,1308,679,629
508,1508,9918,4464,48,8,40
509,1509,9912,4466,113,52,61
510,1510,9949,4440,71,23,48
511,1511,9927,4443,5534,3045,2489
512,1512,9929,4454,364,137,227
513,1513,9912,4450,318,137,181
514,1514,9901,4422,15,7,8
515,1515,9898,4422,2,0,2
516,1516,9933,4443,3199,1670,1529
517,1517,9924,4443,363,177,186
518,1518,9914,4439,3090,1711,1379
519,1519,9912,4447,215,18,197
520,1520,9914,4437,2255,1264,991
521,1521,9919,4433,655,258,397
522,1522,9920,4463,23,4,19
523,1523,9959,4446,6,1,5
524,1524,9945,4444,188,68,120
525,1525,9937,4448,533,241,292
526,1526,9941,4452,8,0,8
527,1527,9936,4445,98,12,86
528,1528,9924,4438,3007,1403,1604
529,1529,9919,4458,433,163,270
530,1530,9919,4435,2678,1535,1143
531,1531,9910,4435,939,595,344
532,1532,9912,4445,535,146,389
533,1533,9913,4449,619,331,288
534,1534,9931,4449,2550,1236,1314
535,1535,9933,4449,921,401,520
536,1536,9927,4456,660,262,398
537,1537,9928,4456,574,301,273
538,1538,9945,4441,190,68,122
539,1539,9934,4436,350,72,278
540,1540,9934,4437,877,318,559
541,1541,9935,4440,438,201,237
542,1542,9929,4453,316,120,196
543,1543,9935,4431,91,33,58
544,1544,9938,4446,164,61,103
545,1545,9937,4446,246,133,113
546,1546,9931,4435,172,35,137
547,1547,9914,4448,6007,3060,2947
548,1548,9925,4429,98,27,71
549,1549,9925,4435,1057,385,672
550,1550,9935,4430,164,75,89
551,1551,9916,4462,458,254,204
552,1552,9916,4461,559,249,310
553,1553,9934,4433,126,48,78
554,1554,9912,4437,1358,690,668
555,1555,9910,4449,165,61,104
556,1556,9906,4442,1545,697,848
557,1557,9919,4430,387,174,213
558,1558,9918,4432,148,52,96
559,1559,9920,4432,547,307,240
560,1560,9924,4434,1070,492,578
561,1561,9921,4435,3255,1721,1534
562,1562,9922,4433,465,222,243
563,1563,9909,4442,4693,2573,2120
564,1564,9908,4450,234,87,147
565,1565,9913,4445,443,55,388
566,1566,9913,4455,1236,527,709
567,1567,9908,4447,107,39,68
568,1568,9938,4442,1070,499,571
569,1569,9914,4456,856,411,445
570,1570,9933,4453,403,212,191
571,1571,9929,4449,2341,1056,1285
572,1572,9916,4431,76,9,67
573,1573,9908,4448,341,132,209
574,1574,9908,4442,2800,1580,1220
575,1575,9908,4446,867,377,490
576,1576,9912,4439,602,213,389
577,1577,9919,4422,396,180,216
578,1578,9927,4437,5991,3068,2923
579,1579,9917,4430,101,38,63
580,1580,9935,4455,303,172,131
581,1581,9934,4455,283,118,165
582,1582,9909,4441,3169,1807,1362
583,1583,9923,4426,159,71,88
584,1584,9925,4434,860,385,475
585,1585,9914,4432,314,103,211
586,1586,9933,4445,3226,1488,1738
587,1587,9925,4461,255,80,175
588,1588,9926,4458,514,232,282
589,1589,9928,4450,1164,632,532
590,1590,9925,4460,605,267,338
591,1591,9908,4432,247,147,100
592,1592,9917,4452,2676,1413,1263
593,1593,9948,4445,27,2,25
594,1594,9925,4439,166,71,95
595,1595,9931,4437,1047,535,512
596,1596,9926,4440,3741,1931,1810
597,1597,9933,4441,1907,811,1096
598,1598,9933,4437,1507,715,792
599,1599,9927,4435,2523,1096,1427
600,1600,9931,4454,423,184,239
601,1601,9944,4441,120,39,81
602,1602,9936,4460,247,148,99
603,1603,9908,4457,217,124,93
604,1604,9905,4460,16,5,11
605,1605,9928,4455,293,94,199
606,1606,9918,4453,608,134,474
607,1607,9932,4463,88,63,25
608,1608,9928,4462,78,20,58
609,1609,9928,4461,220,117,103
610,1610,9926,4460,608,259,349
611,1611,9927,4462,17,8,9
612,1612,9911,4477,58,19,39
613,1613,9917,4459,176,66,110
614,1614,9920,4460,341,90,251
615,1615,9928,4443,4181,1813,2368
616,1616,9944,4442,252,93,159
617,1617,9939,4459,348,202,146
618,1618,9933,4440,471,267,204
619,1619,9930,4434,487,237,250
620,1620,9912,4436,839,379,460
621,1621,9920,4434,758,366,392
622,1622,9928,4437,2691,1341,1350
623,1623,9905,4442,266,101,165
624,1624,9921,4431,201,75,126
625,1625,9924,4431,469,175,294
626,1626,9927,4427,113,32,81
627,1627,9928,4430,399,197,202
628,1628,9925,4427,20,5,15
629,1629,9922,4430,347,166,181
630,1630,9923,4431,41,7,34
631,1631,9918,4434,831,293,538
632,1632,9932,4445,1836,981,855
633,1633,9927,4457,868,431,437
634,1634,9928,4460,249,93,156
635,1635,9913,4456,871,439,432
636,1636,9912,4453,957,395,562
637,1637,9921,4432,202,72,130
638,1638,9923,4435,2862,1363,1499
639,1639,9929,4451,1304,620,684
640,1640,9916,4433,648,334,314
641,1641,9899,4442,42,8,34
642,1642,9907,4446,1533,676,857
643,1643,9907,4444,3457,1735,1722
644,1644,9907,4443,2655,1338,1317
645,1645,9904,4442,26,1,25
646,1646,9908,4444,1728,745,983
647,1647,9904,4445,430,230,200
648,1648,9897,4445,49,8,41
649,1649,9938,4438,93,43,50
650,1650,9921,4460,772,370,402
651,1651,9934,4448,87,16,71
652,1652,9911,4442,1250,668,582
653,1653,9909,4429,16,7,9
654,1654,9902,4423,91,30,61
655,1655,9912,4435,536,364,172
656,1656,9935,4461,229,131,98
657,1657,9939,4465,21,16,5
658,1658,9940,4459,358,212,146
659,1659,9935,4450,121,47,74
660,1660,9943,4457,179,72,107
661,1661,9927,4430,330,130,200
662,1662,9912,4446,1476,651,825
663,1663,9915,4448,5586,2632,2954
664,1664,9915,4464,293,140,153
665,1665,9928,4435,1495,723,772
666,1666,9929,4465,60,27,33
667,1667,9930,4466,8,4,4
668,1668,9936,4438,297,103,194
669,1669,9932,4442,2318,1215,1103
670,1670,9932,4439,1625,719,906
671,1671,9932,4435,452,230,222
672,1672,9931,4436,665,292,373
673,1673,9938,4454,102,50,52
674,1674,9936,4461,56,21,35
675,1675,9909,4448,61,4,57
676,1676,9918,4459,599,271,328
677,1677,9917,4460,501,299,202
678,1678,9937,4439,45,8,37
679,1679,9918,4426,109,53,56
680,1680,9915,4432,1373,665,708
681,1681,9907,4451,288,104,184
682,1682,9900,4414,2,1,1
683,1683,9896,4413,5,1,4
684,1684,9910,4426,17,16,1
685,1685,9919,4420,23,13,10
686,1686,9920,4425,258,143,115
687,1687,9912,4434,287,93,194
688,1688,9931,4430,715,401,314
689,1689,9917,4454,1332,662,670
690,1690,9914,4461,53,6,47
691,1691,9910,4461,135,33,102
692,1692,9915,4445,2227,954,1273
693,1693,9909,4437,25,2,23
694,1694,9923,4443,634,269,365
695,1695,9921,4457,93,29,64
696,1696,9910,4444,587,215,372
697,1697,9938,4431,22,2,20
698,1698,9933,4435,87,15,72
699,1699,9932,4437,690,380,310
700,1700,9946,4440,245,107,138
701,1701,9926,4434,1303,601,702
702,1702,9902,4421,19,9,10
703,1703,9920,4421,148,77,71
704,1704,9931,4462,153,86,67
705,1705,9931,4463,25,15,10
706,1706,9930,4457,121,36,85
707,1707,9934,4445,2059,977,1082
708,1708,9929,4455,252,107,145
709,1709,9931,4434,416,232,184
710,1710,9927,4460,483,218,265
711,1711,9932,4430,698,381,317
712,1712,9904,4444,1201,669,532
713,1713,9915,4429,455,166,289
714,1714,9900,4445,517,232,285
715,1715,9901,4447,157,82,75
716,1716,9899,4445,336,92,244
717,1717,9928,4439,2249,1194,1055
718,1718,9926,4439,2091,1172,919
719,1719,9910,4438,284,135,149
720,1720,9932,4438,993,614,379
721,1721,9924,4432,266,58,208
722,1722,9916,4454,105,14,91
723,1723,9932,4447,522,285,237
724,1724,9938,4447,168,93,75
725,1725,9947,4471,10,7,3
726,1726,9911,4456,212,43,169
727,1727,9914,4467,17,2,15
