id,unicode,X,Y,population,travellers,visitors
468,1471,12717,2320,530,197,333
469,1472,12714,2320,287,59,228
470,1473,12705,2323,876,110,766
471,1474,12695,2342,40,12,28
472,1476,12686,2322,822,265,557
473,1477,12683,2321,303,65,238
474,1478,12699,2322,673,165,508
475,1479,12699,2335,378,183,195
476,1480,12691,2321,444,73,371
477,1481,12714,2325,70,16,54
478,1482,12714,2324,13,2,11
479,1483,12692,2329,7997,4022,3975
480,1484,12710,2324,74,22,52
481,1485,12685,2321,5026,2260,2766
482,1486,12694,2323,169,48,121
483,1487,12670,2338,91,47,44
484,1488,12679,2311,295,107,188
485,1489,12683,2315,193,71,122
486,1490,12710,2319,1037,334,703
487,1491,12671,2344,82,41,41
488,1492,12685,2319,1599,706,893
489,1493,12687,2316,1018,346,672
490,1494,12683,2327,499,252,247
491,1495,12679,2312,497,111,386
492,1496,12683,2313,286,31,255
493,1497,12684,2323,1269,382,887
494,1498,12697,2322,555,150,405
495,1499,12690,2319,728,173,555
496,1500,12678,2315,362,106,256
497,1501,12693,2324,639,101,538
498,1502,12710,2323,11,1,10
499,1503,12696,2331,1253,638,615
500,1504,12681,2329,484,130,354
501,1505,12682,2325,128,46,82
502,1506,12689,2319,299,62,237
503,1507,12689,2331,1636,739,897
504,1508,12706,2322,708,397,311
505,1509,12716,2337,9250,4981,4269
506,1510,12718,2337,5711,3087,2624
507,1511,12715,2337,4979,2299,2680
508,1512,12714,2333,253,77,176
509,1513,12709,2336,211,100,111
510,1514,12711,2337,306,143,163
511,1515,12715,2335,2650,1375,1275
512,1516,12720,2337,11346,6111,5235
513,1517,12717,2337,7429,4059,3370
514,1518,12714,2337,2633,1092,1541
515,1519,12719,2338,3400,1877,1523
516,1520,12716,2338,445,83,362
517,1521,12713,2335,1006,314,692
518,1522,12715,2334,5093,2682,2411
519,1523,12719,2337,8263,4767,3496
520,1524,12717,2339,1592,596,996
521,1525,12719,2339,1600,802,798
522,1526,12718,2338,7369,3829,3540
523,1527,12717,2338,2379,1129,1250
524,1528,12719,2336,3746,1913,1833
525,1529,12721,2339,810,331,479
526,1530,12720,2338,2046,866,1180
527,1531,12730,2332,9,4,5
528,1532,12713,2325,11,1,10
529,1533,12712,2325,2,1,1
530,1534,12710,2326,6,0,6
531,1535,12709,2326,10,1,9
532,1536,12672,2336,137,39,98
533,1537,12682,2341,9,4,5
534,1538,12682,2339,93,50,43
535,1539,12681,2336,8,3,5
536,1540,12692,2327,996,303,693
537,1542,12696,2329,3369,1444,1925
538,1543,12690,2316,176,103,73
539,1546,12680,2332,129,59,70
540,1547,12675,2328,81,2,79
541,1548,12683,2332,641,270,371
542,1549,12684,2333,289,141,148
543,1550,12684,2332,192,96,96
544,1551,12695,2334,1604,753,851
545,1552,12690,2330,3031,1497,1534
546,1553,12681,2327,77,33,44
547,1554,12718,2330,14,7,7
548,1555,12719,2333,55,16,39
549,1556,12706,2323,129,32,97
550,1557,12694,2331,2706,1392,1314
551,1558,12700,2322,820,102,718
552,1559,12694,2335,1553,810,743
553,1560,12682,2327,204,62,142
554,1561,12689,2332,1609,680,929
555,1562,12704,2317,60,36,24
556,1563,12700,2325,235,12,223
557,1564,12682,2321,765,220,545
558,1565,12676,2314,201,19,182
559,1566,12675,2326,436,95,341
560,1567,12683,2322,985,284,701
561,1568,12685,2333,492,245,247
562,1569,12686,2323,905,226,679
563,1570,12681,2333,318,128,190
564,1571,12680,2329,421,177,244
565,1572,12692,2320,1266,444,822
566,1573,12677,2335,16,6,10
567,1574,12683,2325,42,20,22
568,1575,12684,2315,832,204,628
569,1576,12706,2324,550,41,509
570,1577,12723,2323,597,329,268
571,1578,12726,2324,536,180,356
572,1579,12693,2325,637,205,432
573,1580,12691,2322,12,7,5
574,1581,12678,2312,143,44,99
575,1582,12721,2323,73,23,50
576,1583,12720,2323,858,316,542
577,1584,12723,2344,2,1,1
578,1585,12671,2340,53,14,39
579,1586,12721,2327,81,26,55
580,1587,12718,2323,462,63,399
581,1588,12676,2311,46,4,42
582,1589,12673,2327,1249,586,663
583,1590,12697,2330,2091,831,1260
