id,unicode,x,y,population,outdegree,indegree
274,E41000028,410125,93591,183500,500,277
275,E41000036,487752,168430,113200,270,714
276,W40000013,302860,172684,126300,486,433
277,W40000016,316741,195631,178800,420,170
278,W40000020,333433,186528,145700,357,308
279,W40000011,279560,199321,139800,441,155
280,E41000055,507430,235398,254400,540,844
281,E41000049,376710,364854,370100,1105,628
282,E41000050,350941,367262,329600,1021,720
283,E41000023,346537,172923,428200,856,1260
284,E41000015,435850,335145,248700,503,475
289,E41000045,442365,113231,236900,469,568
285,E41000010,509840,430569,256400,480,474
286,E41000016,459074,304819,329900,565,534
287,E41000018,455413,340674,305700,560,838
298,E41000032,508435,222913,203200,236,470
299,E41000035,578723,172765,263900,493,468
300,W40000022,306120,205570,58800,141,69
301,E41000002,450403,516635,138400,351,259
302,E41000042,486878,243584,248800,444,602
303,E41000012,523823,406884,159600,359,191
304,E41000013,493239,411740,167400,465,255
305,W40000012,289142,185315,139200,404,157
306,E41000029,402557,93414,147600,503,576
307,W40000021,304004,270453,133000,538,296
308,E41000038,470706,173156,155700,367,578
326,E41000027,291422,61207,131000,388,166
327,E41000007,362621,389257,202200,552,450
328,E41000037,448432,172523,153800,426,782
329,E41000053,403959,155334,471000,1882,3689
330,E41000040,490399,177104,144600,389,722
331,E41000041,477693,170635,154400,421,719
332,W40000006,331772,344144,134800,331,215
333,E41000014,461681,451811,198000,534,615
334,E41000176,623778,316645,124700,403,164
335,E41000083,270468,54268,83100,497,611
336,E41000085,241784,112184,63800,247,67
337,E41000046,449826,86493,138300,424,171
338,W40000001,241816,379155,69700,267,209
339,W40000002,263926,334941,121900,500,327
340,W40000014,316848,179516,346100,824,978
341,W40000007,258594,263981,75900,286,167
342,W40000008,201248,221167,122400,462,426
343,E41000024,344363,165876,202600,594,266
344,E41000044,465012,102731,205100,618,1926
345,E41000026,249407,56804,256400,967,1628
346,E41000048,395884,594140,316000,972,518
