id,unicode,X,Y,population,travellers,visitors
657,1657,74,98,122,61,61
658,1658,61,104,213,104,109
659,1659,86,73,87,42,45
660,1660,80,36,32,16,16
661,1661,76,44,78,39,39
662,1662,78,77,158,79,79
663,1663,62,82,128,64,64
664,1664,40,94,88,44,44
665,1665,80,47,100,50,50
666,1666,77,40,151,76,75
667,1667,62,145,63,31,32
668,1668,47,77,46,23,23
669,1669,51,68,61,31,30
670,1670,69,88,98,48,50
671,1671,44,75,95,48,47
672,1672,48,108,137,69,68
673,1673,50,77,71,35,36
674,1674,65,96,44,22,22
675,1675,68,108,145,74,71
676,1676,30,108,388,193,195
677,1677,50,66,146,72,74
678,1678,50,63,223,113,110
679,1679,88,62,40,20,20
680,1680,86,68,119,59,60
681,1681,81,95,116,58,58
682,1682,69,105,233,116,117
683,1683,27,68,71,35,36
684,1684,85,43,102,51,51
685,1685,92,46,99,48,51
686,1686,85,70,42,20,22
687,1687,57,114,86,43,43
688,1688,59,117,169,84,85
689,1689,62,133,132,66,66
690,1690,71,69,42,21,21
691,1691,71,70,120,60,60
692,1692,32,119,56,29,27
693,1693,31,98,58,32,26
694,1694,39,68,421,208,213
695,1695,18,77,99,49,50
696,1696,83,60,92,46,46
697,1697,82,78,86,43,43
698,1698,73,87,82,40,42
699,1699,10,122,94,47,47
700,1700,65,126,159,79,80
701,1701,75,95,116,58,58
702,1702,85,75,46,23,23
703,1703,50,49,137,69,68
704,1704,54,53,55,27,28
705,1705,30,138,47,24,23
706,1706,79,74,91,45,46
707,1707,78,74,82,41,41
708,1708,74,44,80,38,42
709,1709,72,52,81,40,41
710,1710,86,66,72,37,35
711,1711,43,85,78,39,39
712,1712,63,75,120,60,60
713,1713,82,63,184,93,91
714,1714,51,118,124,63,61
715,1715,45,83,194,97,97
716,1716,27,136,90,44,46
717,1717,58,109,132,67,65
718,1718,72,98,217,108,109
719,1719,54,76,108,54,54
720,1720,48,62,74,37,37
721,1721,51,141,86,43,43
722,1722,85,80,203,102,101
723,1723,46,80,186,91,95
724,1724,45,70,61,32,29
725,1725,45,66,132,67,65
726,1726,86,63,72,38,34
727,1727,55,127,180,90,90
728,1728,72,62,193,97,96
729,1729,43,77,165,85,80
730,1730,69,84,190,94,96
731,1731,70,63,141,67,74
732,1732,81,90,94,47,47
733,1733,59,95,105,50,55
734,1734,80,95,149,74,75
735,1735,72,64,125,63,62
736,1736,58,99,79,40,39
737,1737,59,99,66,33,33
738,1738,44,70,135,66,69
739,1739,19,85,68,33,35
740,1740,64,53,89,43,46
741,1741,68,54,147,74,73
742,1742,25,99,148,73,75
743,1743,47,42,143,74,69
744,1744,45,43,53,25,28
745,1745,70,38,54,27,27
746,1746,69,79,251,127,124
747,1747,82,70,38,18,20
748,1748,45,60,60,29,31
749,1749,70,97,145,72,73
750,1750,64,86,79,41,38
751,1751,71,82,209,105,104
752,1752,92,57,56,28,28
753,1753,62,124,89,46,43
754,1754,66,135,59,30,29
755,1755,65,137,20,10,10
756,1756,73,72,66,33,33
757,1757,76,73,22,11,11
758,1758,35,52,224,111,113
759,1759,69,70,20,10,10
760,1760,68,103,132,66,66
761,1761,74,64,36,18,18
762,1762,72,66,55,28,27
763,1763,82,49,12,6,6
764,1764,28,115,54,27,27
765,1765,54,108,180,90,90
766,1766,71,92,135,68,67
767,1767,56,98,189,93,96
768,1768,76,70,91,46,45
769,1769,76,89,77,39,38
770,1770,83,78,165,83,82
771,1771,84,69,87,43,44
772,1772,36,139,36,18,18
773,1773,40,138,108,55,53
774,1774,45,79,252,126,126
775,1775,68,80,68,34,34
776,1776,64,79,40,20,20
777,1777,45,52,196,99,97
778,1778,76,52,157,78,79
779,1779,68,82,69,35,34
780,1780,77,38,133,67,66
781,1781,36,10,33,17,16
782,1782,30,11,53,29,24
783,1783,90,47,88,44,44
784,1784,74,105,124,61,63
785,1785,74,103,105,54,51
786,1786,76,105,206,103,103
787,1787,47,69,134,67,67
788,1788,78,83,63,31,32
789,1789,81,75,80,39,41
790,1790,55,80,54,27,27
791,1791,47,66,78,39,39
792,1792,56,133,93,46,47
793,1793,43,72,228,114,114
794,1794,54,114,57,28,29
795,1795,87,70,63,32,31
796,1796,68,144,55,28,27
797,1797,69,145,120,63,57
798,1798,91,67,101,50,51
799,1799,53,109,88,44,44
800,1800,73,40,64,31,33
801,1801,51,114,177,89,88
802,1802,46,92,67,33,34
803,1803,49,93,81,41,40
804,1804,77,90,24,12,12
805,1805,81,86,158,78,80
806,1806,72,78,49,23,26
807,1807,59,107,77,39,38
808,1808,50,104,150,75,75
809,1809,84,77,60,30,30
810,1810,50,103,124,62,62
811,1811,59,72,117,58,59
812,1812,62,92,331,163,168
813,1813,69,99,56,28,28
814,1814,33,96,92,43,49
815,1815,44,42,232,115,117
816,1816,45,38,56,28,28
817,1817,64,87,52,26,26
818,1818,75,73,31,15,16
819,1819,29,96,110,55,55
820,1820,71,76,235,117,118
821,1821,71,75,72,36,36
822,1822,34,108,12,6,6
823,1823,85,65,60,30,30
824,1824,43,86,29,15,14
825,1825,69,138,60,31,29
826,1826,28,67,49,24,25
827,1827,29,70,123,60,63
828,1828,27,66,50,26,24
829,1829,35,82,60,30,30
830,1830,79,77,45,23,22
831,1831,46,44,54,27,27
832,1832,66,104,118,57,61
833,1833,66,113,114,57,57
834,1834,67,119,42,21,21
835,1835,89,66,133,68,65
836,1836,79,92,155,77,78
837,1837,84,54,58,29,29
838,1838,28,121,210,105,105
839,1839,84,64,59,29,30
840,1840,82,62,73,37,36
841,1841,90,64,64,32,32
842,1842,84,35,11,5,6
843,1843,34,99,118,59,59
844,1844,40,70,189,95,94
845,1845,67,135,44,22,22
846,1846,43,98,64,31,33
847,1847,35,118,81,41,40
848,1848,58,59,119,59,60
849,1849,85,52,36,18,18
850,1850,82,68,88,44,44
851,1851,80,68,44,22,22
852,1852,75,90,29,14,15
853,1853,77,54,32,16,16
854,1854,84,74,10,5,5
855,1855,82,64,47,23,24
856,1856,88,74,72,35,37
857,1857,67,134,62,31,31
858,1858,84,68,116,58,58
859,1859,81,68,64,32,32
860,1860,44,82,68,34,34
861,1861,84,67,39,21,18
862,1862,71,89,98,49,49
863,1863,72,90,82,41,41
864,1864,85,68,111,55,56
865,1865,88,70,80,40,40
866,1866,44,98,78,39,39
867,1867,30,132,62,31,31
868,1868,32,132,99,50,49
869,1869,91,39,20,10,10
870,1870,78,33,74,36,38
871,1871,47,40,45,22,23
872,1872,51,44,24,12,12
873,1873,46,77,56,28,28
874,1874,18,131,55,28,27
875,1875,87,43,49,25,24
876,1876,74,58,109,54,55
877,1877,1,126,58,32,26
878,1878,79,40,115,56,59
879,1879,78,49,98,49,49
880,1880,49,87,92,46,46
881,1881,76,46,67,34,33
882,1882,43,66,168,84,84
883,1883,39,136,82,40,42
884,1884,46,97,16,8,8
885,1885,44,94,149,74,75
886,1886,69,93,256,128,128
887,1887,83,39,47,24,23
888,1888,26,63,58,29,29
889,1889,10,78,36,18,18
890,1890,49,46,32,18,14
891,1891,82,96,80,40,40
892,1892,45,85,80,40,40
893,1893,49,98,236,118,118
894,1894,74,92,46,25,21
895,1895,90,50,84,42,42
896,1896,45,88,116,57,59
897,1897,62,85,74,37,37
898,1898,40,63,86,42,44
899,1899,72,79,218,106,112
900,1900,35,99,131,65,66
901,1901,80,39,31,15,16
902,1902,47,96,220,109,111
903,1903,40,90,81,40,41
904,1904,91,66,62,31,31
905,1905,81,63,171,86,85
906,1906,69,60,140,71,69
907,1907,80,99,231,117,114
908,1908,69,74,128,64,64
909,1909,68,133,12,6,6
910,1910,57,105,259,127,132
911,1911,16,129,96,48,48
912,1912,69,87,125,62,63
913,1913,83,93,239,120,119
914,1914,81,92,48,24,24
915,1915,31,66,93,47,46
916,1916,63,105,58,31,27
917,1917,71,79,258,128,130
918,1918,65,146,109,56,53
919,1919,79,85,18,9,9
920,1920,69,92,186,93,93
921,1921,56,102,81,42,39
922,1922,87,50,78,40,38
923,1923,88,49,22,11,11
924,1924,90,46,31,16,15
925,1925,77,49,6,3,3
926,1926,73,84,84,42,42
927,1927,18,132,26,13,13
