1075,1147,1
1160,1121,3
552,1198,5
360,120,1
681,590,1
567,305,2
153,1173,1
1189,812,1
590,194,1
1343,551,1
375,465,1
799,483,1
1096,395,1
350,349,6
844,366,1
386,1238,2
481,6,1
227,278,1
727,189,2
863,317,1
520,519,1
62,230,1
1069,517,3
126,16,9
307,239,1
987,625,1
735,66,1
229,902,1
690,728,6
448,259,1
539,1356,1
158,801,2
1045,676,17
544,797,1
1089,5,1
666,512,1
317,204,4
322,6,1
843,664,1
119,1081,4
222,139,1
328,570,4
12,35,1
282,283,1
5,1064,2
89,366,1
122,326,1
97,280,3
120,263,5
286,226,8
606,411,2
385,53,1
1064,461,1
1012,966,2
373,636,1
723,417,7
401,1071,2
1070,987,1
936,1310,1
185,1070,1
628,290,1
259,449,3
902,1093,2
939,1085,3
414,209,1
1004,1252,1
360,695,1
800,996,1
238,164,1
770,94,3
42,435,2
408,61,1
1113,1055,4
1210,18,1
11,982,2
1207,249,1
477,929,2
463,395,1
836,516,2
382,854,1
70,996,1
421,906,1
222,1299,1
814,719,1
100,335,1
730,230,3
734,265,1
1318,1296,4
379,173,23
121,162,2
1006,490,3
1173,198,1
590,313,1
131,1124,1
510,608,4
685,1204,1
466,762,2
43,167,1
749,61,2
785,1088,5
287,896,1
721,596,4
316,286,1
1319,752,1
1039,468,3
1077,226,1
84,147,1
220,643,1
446,1077,1
743,369,1
524,249,2
807,453,1
915,828,1
991,419,1
173,836,2
96,1160,4
961,100,6
468,528,1
345,719,1
38,746,1
718,1160,3
1303,617,1
243,1064,7
843,549,1
886,409,1
324,134,1
753,1148,1
379,5,1
549,103,1
575,767,1
113,965,2
1148,1072,1
657,64,3
546,1051,1
1152,417,2
611,246,6
687,642,1
103,215,2
38,806,4
172,284,4
9,198,4
634,173,1
548,411,2
718,307,1
153,105,2
31,956,1
1240,188,1
24,182,1
340,64,1
456,473,2
1201,515,1
581,154,1
1214,640,1
870,1360,1
258,529,1
311,649,1
448,609,1
371,162,1
1230,458,2
397,642,1
7,1034,2
341,6,1
1115,338,7
11,547,1
615,848,1
1021,521,2
327,216,1
246,296,6
465,615,2
767,910,2
801,177,1
13,171,6
88,1166,1
130,437,1
1336,359,3
1249,526,2
729,711,1
503,228,1
808,558,1
12,769,1
478,238,1
1078,171,1
701,537,1
28,153,1
482,481,1
323,991,1
364,13,7
514,958,1
659,316,1
339,108,1
264,40,2
1072,254,1
292,132,1
750,808,1
121,313,4
1123,409,1
886,200,1
801,10,2
307,469,4
12,197,2
58,21,1
483,1052,1
1067,350,4
256,982,1
722,1027,1
480,522,2
131,134,5
798,612,1
179,563,2
288,17,1
73,321,3
99,1245,1
1064,5,1
1322,691,1
320,578,1
391,423,1
274,1149,10
866,565,3
1011,756,3
1160,223,1
144,309,1
474,426,1
494,701,1
1141,249,1
817,376,1
983,335,1
279,982,2
897,382,1
643,414,3
1223,243,1
809,576,1
18,1081,2
652,528,1
143,451,1
634,357,1
717,384,1
252,1028,2
848,741,1
96,106,1
20,50,1
325,1111,1
656,130,3
504,130,1
456,638,1
490,1006,2
278,749,1
959,891,1
1013,578,1
907,115,1
446,40,1
579,485,2
671,525,4
1095,1104,3
588,589,1
411,741,1
600,703,1
962,74,1
350,11,1
822,821,3
1354,936,1
499,640,3
292,699,1
329,499,1
688,20,1
393,610,22
220,933,1
307,226,11
362,1163,3
95,343,1
577,476,1
215,1186,1
1187,1282,2
1089,1075,1
777,725,1
5,914,1
59,1110,1
103,565,4
564,25,1
454,173,1
74,16,2
758,191,1
433,182,3
730,948,2
278,480,3
808,101,1
805,35,3
190,1217,2
724,469,3
31,164,4
1076,283,1
406,535,2
155,1195,2
890,592,1
1375,53,2
286,263,1
364,1007,2
73,446,2
78,385,2
1021,939,2
504,62,2
1259,5,1
631,1260,1
990,722,1
1000,938,2
307,906,1
277,184,1
418,376,1
893,84,1
187,573,1
16,630,2
1161,1,1
138,17,1
641,186,1
378,864,3
1297,689,6
777,442,12
152,291,8
149,239,1
610,627,1
1086,20,1
412,537,2
735,513,1
642,480,1
18,518,1
15,130,3
1261,787,2
617,482,2
1363,395,1
483,81,2
568,377,2
515,384,1
939,530,1
722,14,1
736,1130,1
609,1340,1
1207,600,1
355,360,5
749,24,6
1239,139,2
662,697,1
539,758,1
993,802,1
1105,147,1
4,681,2
1177,437,1
308,17,1
262,1076,1
612,679,1
918,1208,3
706,520,1
1143,552,1
734,278,1
76,800,1
348,1069,1
501,145,1
1064,1355,3
977,42,2
837,963,1
32,198,1
436,988,1
528,949,1
376,421,1
426,498,2
786,352,6
963,665,1
678,182,1
677,939,4
452,358,2
675,482,1
695,170,1
382,30,14
1148,199,1
750,594,1
586,596,3
465,466,1
248,62,2
358,731,2
808,336,5
95,1036,1
725,1225,1
293,900,1
443,91,1
1101,504,1
339,42,16
789,226,2
622,747,2
261,649,1
632,35,1
964,236,22
1015,1328,1
560,4,1
286,114,2
1003,684,1
309,307,1
627,280,1
666,1012,2
96,164,1
463,558,4
723,529,8
9,153,5
530,1021,5
271,13,4
416,1151,1
1317,726,1
1020,596,1
257,780,2
162,514,2
35,128,1
167,155,1
1187,263,1
1258,877,2
835,437,3
1028,1210,2
835,130,1
1129,820,3
304,254,3
417,929,2
991,683,1
96,352,8
615,831,2
336,335,2
135,193,1
6,399,2
695,294,3
880,844,1
18,141,8
765,24,1
679,451,1
146,605,9
169,18,2
1047,1165,2
879,584,3
28,198,1
1346,1008,1
688,144,2
954,201,2
1376,1203,2
276,702,3
980,1008,1
362,507,5
412,480,1
385,922,3
18,577,3
924,783,3
151,1205,1
1218,57,1
522,717,1
259,834,3
111,861,1
84,3,1
778,1237,1
634,157,1
416,1000,2
662,307,1
457,128,1
380,801,1
487,586,1
57,6,1
5,636,3
286,429,1
746,1182,2
11,283,2
972,732,4
1266,298,1
618,293,1
352,120,2
391,473,2
153,285,3
549,503,4
1203,436,1
229,463,1
263,495,1
766,254,1
125,254,1
1189,286,1
812,418,1
514,243,12
121,590,1
286,1001,4
638,168,5
1177,399,1
724,787,2
9,86,3
1044,250,7
117,1136,1
386,696,4
95,1120,1
525,715,2
986,191,1
1344,923,1
56,12,1
167,44,2
1001,886,1
111,110,3
63,511,1
685,187,1
1133,544,1
607,770,4
554,522,5
510,4,2
120,814,1
618,5,1
1216,516,2
754,245,1
11,723,1
1207,530,1
740,112,1
816,592,1
876,640,1
564,658,12
1260,1244,1
1209,154,1
421,655,1
193,76,1
100,82,1
1259,880,1
315,641,7
17,812,1
494,286,1
390,1239,1
1047,1302,3
234,643,1
529,117,1
1258,292,1
1300,451,1
203,456,2
39,246,4
501,951,1
226,11,18
175,938,1
486,1261,2
872,1168,5
5,658,1
228,736,1
352,1073,1
18,724,1
786,1012,1
463,524,2
264,120,1
741,778,1
433,153,1
36,130,1
864,659,1
829,827,1
635,1028,2
777,820,1
812,1339,1
31,313,3
808,122,1
895,298,1
752,60,1
330,222,1
356,694,1
125,495,1
510,171,2
1221,985,1
63,933,1
812,753,1
131,534,1
